Study	Site	Qualatative/Quantative	pH	Salinity	Latitude	Longitude	Description	Earth_Water_Air	Sequencing	Library kit	Extraction	BioProject ID	SRA_id	K (mM)	Na (mM)	T(°C)
Maryuma2024	Site1_nov2021	Quantitative	7,66	0,0354	26,10191389	127,7333417	Groundwater	Water	Illumina MiSeq	Nextera XT library preparation kit	DNeasy Power Water Sterivex Kit	PRJDB15135	DRR437139	0,0639	1,37	23,4
Chan2015	US80-3rd	Qualatative			3,99661	101,39308	Hot spring	Water	Illumina HiSeq 4000	Illumina Nextera DNA Sample	Metagenomic DNA Isolation Kit	PRJNA378813	SRR7039829			80
Pedron2019	Hydra	Qualatative			46,04247	10,88286	Hot spring	Water	Illumina HiSeq 2500	Nextera XT library preparation kit	RapidWater DNA extraction kit	PRJNA414404	SRR6943130			
Pedron2019	Comano Terme	Qualatative			46,04194	10,88603	Hot spring	Water	Illumina HiSeq 2500	Nextera XT library preparation kit	RapidWater DNA extraction kit	PRJNA414404	SRR6943129			
Ugwuanyi2023	SMP_Wa	Quantitative	1	0,000486	40,82747	14,13942	Hot spring	Water	Illumina NovaSeq 6000	Accel-NGS 2S Plus DNA Library Kit	DNeasy PowerSoil kit	PRJNA889931	SRR22299281	-	-	42,5
Ugwuanyi2023	SMP_Wb	Quantitative	1	0,000468	40,82747	14,13942	Hot spring	Water	Illumina NovaSeq 6000	Accel-NGS 2S Plus DNA Library Kit	DNeasy PowerSoil kit	PRJNA889931	SRR22299280	-	-	42,5
Ugwuanyi2023	PLP_W	Quantitative	2,5	0,4878	40,82949	14,14728	Hot spring	Water	Illumina NovaSeq 6000	Accel-NGS 2S Plus DNA Library Kit	DNeasy PowerSoil kit	PRJNA889931	SRR22299279	-	-	84,1
Lin2015	SHP	Quantitative	2,5	0,0887	25,19544	121,60245	Hot spring	Water	Illumina HiSeq 2000		Mega Soil DNA Isolation Kit,	PRJNA246126	SRR1297185	0,055	0,512	
Paul2023	ESF170215	Qualatative			9,89901	-85,453514	Hot spring	Water	Illumina NextSeq 500	Nextera Flex	-	PRJNA627197	SRR11582174			28
Paul2023	BR1F70218	Qualatative	6,3		10,898	-85,32	Hot spring	Water	Illumina NextSeq 500	Nextera Flex	-	PRJNA627197	SRR11582148			59
Paul2023	CYF170214	Qualatative	6,3		10,287	-84,95	Hot spring	Water	Illumina NextSeq 500	Nextera Flex	-	PRJNA627197	SRR11582144			72
Paul2023	BQF170218	Qualatative	2,1		10,81	-85,41	Hot spring	Water	Illumina NextSeq 500	Nextera Flex	-	PRJNA627197	SRR11582141			89
Paul2023	EPF170215	Qualatative	9,9		9,901885	-85,454327	Hot spring	Water	Illumina NextSeq 500	Nextera Flex	-	PRJNA627197	SRR11582140			26
Allioux2022	RB108	Quantitative	9,59	0,0045	-49,63508	68,78616	Hot spring	Water	Illumina NovaSeq		PCI	PRJEB46766	ERR6412196	0,607	29,109	101,3
Allioux2022	RB32	Quantitative	5,79	0,0074	-49,62579	68,79895	Hot spring	Water	Illumina NovaSeq		PCI	PRJEB46766	ERR6412195	0,086	0,36	97
Allioux2022	RB13	Quantitative	7,61	0,0082	-49,62556	68,79865	Hot spring	Water	Illumina NovaSeq		PCI	PRJEB46766	ERR6412194	0,22	0,909	93
Allioux2022	RB10	Quantitative	8,7	0,1807	-49,62535	68,79869	Hot spring	Water	Illumina NovaSeq		PCI	PRJEB46766	ERR6412193	0,17	0,868	78,4
Nishiyama2018	N2	Quantitative	2,8	0,06	31,91475	130,82969	Hot spring	Water	Illumina MiSeq	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163693	0,204	1,04	89,1
Nishiyama2018	G1	Quantitative	2,9	0,12	31,93197	130,80064	Hot spring	Water	Illumina MiSeq	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163692	0,03938	0,046	88,5
Nishiyama2018	T1	Quantitative	2,4	0,12	31,89778	130,82517	Hot spring	Water	Illumina MiSeq	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163691	0,0693	0,339	84
Nishiyama2018	I1	Quantitative	2,9	0,14	31,89797	130,83856	Hot spring	Water	Illumina Genome Analyzer IIx	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163690	0,215	3,7	88
Nishiyama2018	K2	Quantitative	1,9	0,35	31,91825	130,79775	Hot spring	Water	Illumina Genome Analyzer IIx	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163689	0,172	0,388	94,7
Nishiyama2018	M1	Quantitative	8,8	0,18	31,95622	130,779	Hot spring	Water	Illumina MiSeq	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163688	0,5755	3,25	96,8
Nishiyama2018	N1	Quantitative	6,9	0,02	31,91808	130,79817	Hot spring	Water	Illumina Genome Analyzer IIx	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163687	0,226	1,17	68
Nishiyama2018	Y1	Quantitative	4,77	0,01	31,89236	130,82656	Hot spring	Water	Illumina Genome Analyzer IIx	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163686	0,0363	0,0339	90,4
Nishiyama2018	K1	Quantitative	6,6	0,03	31,91719	130,79914	Hot spring	Water	Illumina Genome Analyzer IIx	Nextera DNA Sample Prep kit	Rapid Water DNA Isolation kit	PRJDB7293	DRR163685	0,015	0,149	84,5
Rosaldo-Benitez2024	Mocu_DS	Quantitative	8,5	0,12	18,78	-90,5	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689436			32,5
Rosaldo-Benitez2024	Mocu_CS	Quantitative	7,9	0,064	18,78	-90,5	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689435			31,8
Rosaldo-Benitez2024	Mocu_CB	Quantitative	7,9	0,0662	18,78	-90,5	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689434			31,8
Rosaldo-Benitez2024	XC_DS	Quantitative	8,3	0,0144	19,1	-89,29	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689433			29,5
Rosaldo-Benitez2024	XC_BS	Quantitative	8,2	0,0116	19,1	-89,29	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689432			30,8
Rosaldo-Benitez2024	SDS	Quantitative	7,5	0,012	18,64	-90,27	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689431			30,3
Rosaldo-Benitez2024	SBS	Quantitative	7,3	0,0116	18,64	-90,27	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689430			29,8
Rosaldo-Benitez2024	SCS	Quantitative	7,8	0,0114	18,64	-90,27	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689429			31,5
Rosaldo-Benitez2024	SCB	Quantitative	7,8	0,0116	18,64	-90,27	Lake	Water	Illumina HiSeq 2500		Zymo Plant/Seed Miniprep kit.	PRJNA1162095	SRR30689428			30,5
Zepernick24	LV_1	Quantitative	7,1	0,007	-0,1961	34,38861	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270208	-	-	25,5
Zepernick24	LV_11	Quantitative	7,4	0,006	-0,5216	34,45703	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270206	-	-	26,5
Zepernick24	LV_13	Quantitative	7,7	0,007	-0,4525	34,41326	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270204	-	-	25,5
Zepernick24	LV_3	Quantitative	7,1	0,007	-0,2331	34,49639	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270196	-	-	24,8
Zepernick24	LV_21	Quantitative	7,4	0,005	-0,42	34,20583	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270195	-	-	25,6
Zepernick24	LV_23	Quantitative	6,7	0,008	-0,1041	34,74074	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270193	-	-	26,84
Zepernick24	LV_25	Quantitative	8,5	0,004	-0,3185	34,75242	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270191	-	-	26,56
Zepernick24	LV_26	Quantitative	8,1	0,004	-0,2572	34,70315	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270190	-	-	26,09
Zepernick24	LV_27	Quantitative	7,1	0,005	-0,3471	34,69945	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270189	-	-	29,7
Zepernick24	LV_28	Quantitative	7,7	0,005	-0,3144	34,56518	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270188	-	-	28,7
Zepernick24	LV_29	Quantitative	8,7	0,005	-0,3505	34,45655	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270187	-	-	28,4
Zepernick24	LV_30	Quantitative	7,3	0,005	-0,44	34,4736	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270186	-	-	27,8
Zepernick24	LV_31	Quantitative	8,7	0,004	-0,4731	34,49207	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270184	-	-	26,32
Zepernick24	LV_32	Quantitative	8,6	0,005	-0,49294	34,634	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270183	-	-	26,32
Zepernick24	LV_33	Quantitative	8,6	0,005	-0,4779	34,3553	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270182	-	-	26,32
Zepernick24	LV_34	Quantitative	7,4	0,005	-0,4155	34,20972	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270181	-	-	26,48
Zepernick24	LV_35	Quantitative	8,3	0,005	-0,4233	34,19795	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270180	-	-	25,26
Zepernick24	LV_36	Quantitative	7,8	0,004	-0,4055	34,10967	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270179	-	-	26,1
Zepernick24	LV_38	Quantitative	7,8	0,004	-0,0623	34,03812	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270177	-	-	27,9
Zepernick24	LV_39	Quantitative	7,5	0,004	-0,341	34,2403	Lake	Water	Illumina NovaSeq X	standard Illumina library prep	DNA easy Power Water kit	PRJNA1119566	SRR29270176	-	-	26,2
Zepernick24	LV_5	Quantitative	7,6	0,007	-0,2466	34,60327	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270174	-	-	-
Zepernick24	LV_7	Quantitative	7,4	0,005	-0,4155	32,20972	Lake	Water	Illumina NovaSeq X	Nextera XT Library Preparation Ki	Acid  PCI	PRJNA1119566	SRR29270164	-	-	25,5
Zepernick24	LV_9	Quantitative	7,4	0,005	-0,4155	32,20972	Lake	Water	Illumina NovaSeq X	Nextera XT library preparation kit	Acid  PCI	PRJNA1119566	SRR29270162	-	-	25,5
Kim24	Jan2019_1	Quantitative	6,8	0,005	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327211	-	-	6,1
Kim24	Jul2019_1	Quantitative	8,9	0,004	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327209	-	-	29,1
Kim24	Jul2019_90	Quantitative	7	0,004	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327206	-	-	5,7
Kim24	Jul2019_40	Quantitative	7,5	0,004	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327205	-	-	7,5
Kim24	Nov2019_1	Quantitative	6,7	0,003	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327204	-	-	14,3
Kim24	Nov2019_40	Quantitative	6,5	0,003	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327201	-	-	11,6
Kim24	Nov2019_90	Quantitative	6,8	0,003	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327200	-	-	5,1
Kim24	Jan2019_90	Quantitative	6,8	0,008	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327197	-	-	4,8
Kim24	April2019_1	Quantitative	7,4	0,005	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327196	-	-	12,4
Kim24	April2019_40	Quantitative	7,4	0,005	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327193	-	-	5,6
Kim24	April2019_90	Quantitative	7,2	0,005	37,95176	127,81562	Lake	Water	Illumina MiSeq	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJNA1087105	SRR28327192	-	-	5,2
Sanseverino2022	04_Okt_2017Secchi	Quantitative	7,3	0,0136	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT Library Preparation Ki	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516754	-	-	10,8
Sanseverino2022	04_Okt_2017Epi	Quantitative	8,9	0,0091	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516753	-	-	19,5
Sanseverino2022	02_Aug_2017Meso	Quantitative	7,5	0,0109	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516752	-	-	9,5
Sanseverino2022	31_Aug_2016Meso	Quantitative	7,1	0,0151	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT Library Preparation Ki	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516746	-	-	9,3
Sanseverino2022	31_Aug_2016Epi	Quantitative	8,5	0,0117	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516745	-	-	25
Sanseverino2022	21_Sep_2016Secchi	Quantitative	7,3	0,0151	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516744	-	-	15,8
Sanseverino2022	21_Sep_2016Epi	Quantitative	8,3	0,012	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516743	-	-	22
Sanseverino2022	27_Sep_2017Secchi	Quantitative	7,3	0,0132	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516742	-	-	15,3
Sanseverino2022	14_Sep_2016Epi	Quantitative	8,4	0,118	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT Library Preparation Ki	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516740	-	-	25,2
Sanseverino2022	07_Sep_2016Secchi	Quantitative	7,5	0,0148	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516739	-	-	15
Sanseverino2022	07_Sep_2016Epi	Quantitative	8,5	0,0117	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516738	-	-	24,8
Sanseverino2022	27_Sep_2017Epi	Quantitative	8,6	0,0091	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT Library Preparation Ki	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516737	-	-	19,9
Sanseverino2022	30_Aug_2017Secchi	Quantitative	6,3	0,0132	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516736	-	-	23,9
Sanseverino2022	30_Aug_2017Epi	Quantitative	7,7	0,0091	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516735	-	-	26,1
Sanseverino2022	23_Aug_2017Secchi	Quantitative	8,5	0,101	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516734	-	-	24,3
Sanseverino2022	23_Aug_2017Epi	Quantitative	9,1	0,0095	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516733	-	-	25,1
Sanseverino2022	09_Aug_2017Meso	Quantitative	7,2	0,0148	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516732	-	-	8,7
Sanseverino2022	09_Aug_2017Epi	Quantitative	8,7	0,01	45,8126	8,7401	Lake	Water	Illumina HiSeq 4000	Nextera XT library preparation kit	DNeasy Blood & Tissue Kit	PRJNA694367	SRR13516731	-	-	25,6
Paul2023	PGF172224	Qualatative	9,7		10,18	-84,227	Lake	Water	Illumina NextSeq 500	Nextera Flex	-	PRJNA627197	SRR11582169			
Rogrigeuz-Gijon2023	Sample_105_S5	Qualatative			59,32297508	17,89074006	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	FastDNA® SPIN Kit for Soil		ERR9973206			
Rogrigeuz-Gijon2023	Sample_111_S82	Qualatative			59,32297508	17,89074006	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973201			
Rogrigeuz-Gijon2023	Sample_110_S81	Qualatative			59,3264203	17,90658423	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973200			
Rogrigeuz-Gijon2023	Sample_107_S80	Qualatative			59,84590854	17,88753177	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973199			
Rogrigeuz-Gijon2023	Sample_105_S79	Qualatative			59,8495	18,5641459	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973198			
Rogrigeuz-Gijon2023	Sample_104_S78	Qualatative			59,7408505	17,61029	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973197			
Rogrigeuz-Gijon2023	Sample_103_S77	Qualatative			59,48262577	17,93470477	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973196			
Rogrigeuz-Gijon2023	Sample_102_S76	Qualatative			59,4921894	18,02688	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973195			
Rogrigeuz-Gijon2023	Sample_101_S75	Qualatative			59,724132	18,72842	Lake	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	DNA easy Power Water kit		ERR9973194			
Kim24	Jan2015_50	Quantitative	6,9	0,004	37,947389	127,818861	Lake	Water	Illumina HiSeq 2500	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJEB27578	ERR2681676	-	-	5,4
Kim24	Jan2015_1	Quantitative	6,9	0,004	37,947389	127,818861	Lake	Water	Illumina HiSeq 2500	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJEB27578 	ERR2681675	-	-	5,6
Kim24	Oct2014_50	Quantitative	6,7	0,004	37,947389	127,818861	Lake	Water	Illumina HiSeq 2500	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJEB27578	ERR2681674	-	-	7,3
Kim24	Oct2014_1	Quantitative	7,1	0,0013	37,947389	127,818861	Lake	Water	Illumina HiSeq 2500	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJEB27578	ERR2681673	-	-	19,5
Kim24	Jul2015_1	Quantitative	8,4	0,003	37,947389	127,818861	Lake	Water	Illumina HiSeq 2500	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJEB27578	ERR2681671	-	-	26,5
Kim24	April2014_1	Quantitative	7,9	0,003	37,947389	127,818861	Lake	Water	Illumina HiSeq 2500	TruSeq DNA library	DNeasy Blood & Tissue Kit	PRJEB27578	ERR2681669	-	-	12,3
Shah2024	EULd_A251SC	Qualatative			46,965417	10,9448	Lake 	Water	Illumina HiSeq 4000		myBudgetDN	PRJNA1052970	SRR27216472			
Shah2024	EULd_S191UT	Qualatative			41,497325	0,512892	Lake 	Water	Illumina HiSeq 4000		myBudgetDN	PRJNA1052970	SRR27216460			
Shah2024	EULs_O121RA	Qualatative			45,358317	22,876117	Lake 	Water	Illumina HiSeq 4000		myBudgetDN	PRJNA1052970	SRR27216455			
Shah2024	EULs_O241PL	Qualatative			46,933567	18,1176	Lake 	Water	Illumina HiSeq 4000		myBudgetDN	PRJNA1052970	SRR27216453			
Shah2024	EULs_O251KR	Qualatative			47,238072	4,631361	Lake 	Water	Illumina HiSeq 4000		myBudgetDN	PRJNA1052970	SRR27216452			
Shah2024	EULs_S022PA	Qualatative			44,906383	3,792808	Lake 	Water	Illumina HiSeq 4000		myBudgetDN	PRJNA1052970	SRR27216451			
Rogrigeuz-Gijon2023	Sample_109_S9	Qualatative			59,3264203	17,90658423	Lake 	Water	Illumina NovaSeq 6000	SMARTer Thruplex library preparation	FastDNA® SPIN Kit for Soil		ERR9973210			
Rogrigeuz-Gijon2023	Sample_106_S6	Qualatative			60,04186611	17,56679391	Lake 	Water	Illumina NovaSeq 6000	Nextera XT Library Preparation Ki	FastDNA® SPIN Kit for Soil		ERR9973207			
Courtine2026	CIM_AE_DC	Qualatative			45,495395	2,8881415	Lake 	Water	Illumina NovaSeq 6000			PRJEB61527	ERR15302197			
Lopez-Garcia2023	GEN190320_L_Med_S_vir_lib80453_1474_3				38,068511	-0,231994	Ocean	Water	Illumina HiSeq 2500			PRJNA756245	SRR15526463			
Blaustein2025	W6	Quantitative	7,15	0,009	38,92	-76,14	Pond	Water	Illumina NextSeq 1000			PRJNA1062331	SRR33648781			23,743
Huang2024	MAP5-4A	Qualatative			-33,42857	-70,839769	Pond	Water	Illumina NextSeq 2000	Illumina DNA Prep kit	Illumina DNA Prep kit	PRJNA1008708 	SRR24999996			
Rhalf2023	Rain_07-09022020_0,2µm	Qualatative			58,8765692	11,1463651	Rain	Water	Illumina HiSeq X	Illumina DNA Prep with Enrichment Reference Guide	DNeasy PowerSoil Pro Kit	PRJNA811790	SRR18243874			
Rhalf2023	Rain_16_22022020_pooled_0,2µm	Qualatative			58,8765692	11,1463651	Rain	Water	Illumina HiSeq X	Illumina DNA Prep with Enrichment Reference Guide	DNeasy PowerSoil Pro Kit	PRJNA811790	SRR18243862			
Tavares_Martins2025	LIT1_A	Quantitative	6,59	0,0046	-5,402505	-49,1335617	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951357	-	-	-
Tavares_Martins2025	LIT1_B	Quantitative	6,96	0,0046	-5,402505	-49,1335617	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951356	-	-	-
Tavares_Martins2025	LIT4_B	Quantitative	6,99	0,0047	-5,3568683	-49,1221817	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951355	-	-	-
Tavares_Martins2025	LIT4_C	Quantitative	6,9	0,0046	-5,3568683	-49,1221817	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951354	-	-	-
Tavares_Martins2025	LIT1_C	Quantitative	7,05	0,0046	-5,402505	-49,1335617	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951353	-	-	-
Tavares_Martins2025	LIT2_A	Quantitative	6,84	0,0046	-5,3660059	-49,0935374	River	Water	Illumina NovaSeq 6000	Nextera XT Library Preparation Ki	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951352	-	-	-
Tavares_Martins2025	LIT2_B	Quantitative	6,83	0,0047	-5,3660059	-49,0935374	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951351	-	-	-
Tavares_Martins2025	LIT2_C	Quantitative	6,85	0,0048	-5,3660059	-49,0935374	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951350	-	-	-
Tavares_Martins2025	LIT3_A	Quantitative	7,49	0,0046	-5,3568683	-49,1221817	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951349	-	-	-
Tavares_Martins2025	LIT3_B	Quantitative	7,35	0,0048	-5,3568683	-49,1221817	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951348	-	-	-
Tavares_Martins2025	LIT3_C	Quantitative	6,98	0,0047	-5,3568683	-49,1221817	River	Water	Illumina NovaSeq 6000	Nextera XT Library Preparation Ki	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951347	-	-	-
Tavares_Martins2025	LIT4_A	Quantitative	7,52	0,0029	-5,3568683	-49,1221817	River	Water	Illumina NovaSeq 6000	Nextera XT library preparation kit	DNeasy PowerSoil Pro Kit 	PRJNA1122411	SRR30951346	-	-	-
Huang2024	W285	Qualatative			-22,251784	-42,777735	River	Water	Illumina NextSeq 2000	Illumina DNA Prep kit	Illumina DNA Prep kit	PRJNA1008708 	SRR26947826			
Huang2024	W245	Qualatative			-22,299031	-43,453917	River	Water	Illumina NextSeq 2000	Illumina DNA Prep kit	Illumina DNA Prep kit	PRJNA1008708 	SRR26947786			
Huang2024	P22	Qualatative			-6,858056	-35,367778	River	Water	Illumina NextSeq 2000	Illumina DNA Prep kit	Illumina DNA Prep kit	PRJNA1006745	SRR25694627			
Huang2024	1C103	Qualatative			-6,982722	-38,453417	River	Water	Illumina NextSeq 2000	Illumina DNA Prep kit	Illumina DNA Prep kit	PRJNA1006745	SRR25694619			
